from charingCross to london
at 14:00 this tuesday
[O--------------------------------------------------]0 seconds to go.  loc not valid  51.713371 , -0.518899 .
[IO-------------------------------------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.496050623188 .
[I-O------------------------------------------------]24 seconds to go.  loc not valid  51.7059583455 , -0.484626434783 .
[I-O------------------------------------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.473202246377 .
[I--O-----------------------------------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.461778057971 .
[I---O----------------------------------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.450353869565 .
[I----O---------------------------------------------]24 seconds to go.  loc not valid  51.7059583455 , -0.438929681159 .
[I----O---------------------------------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.427505492754 .
[I-----O--------------------------------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.416081304348 .
[I------O-------------------------------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.404657115942 .
[I------O-------------------------------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.393232927536 .
[I-------O------------------------------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.38180873913 .
[I--------O-----------------------------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.370384550725 .
[I---------O----------------------------------------]24 seconds to go.  loc not valid  51.7059583455 , -0.358960362319 .
[I---------O----------------------------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.347536173913 .
[I----------O---------------------------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.336111985507 .
[I-----------O--------------------------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.324687797101 .
[I-----------O--------------------------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.313263608696 .
[I------------O-------------------------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.30183942029 .
[I-------------O------------------------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.290415231884 .
[I--------------O-----------------------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.278991043478 .
[I--------------O-----------------------------------]24 seconds to go.  loc not valid  51.7059583455 , -0.267566855072 .
[I---------------O----------------------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.256142666667 .
[I----------------O---------------------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.244718478261 .
[I----------------O---------------------------------]22 seconds to go.  loc not valid  51.7059583455 , -0.233294289855 .
[I-----------------O--------------------------------]22 seconds to go.  loc not valid  51.7059583455 , -0.221870101449 .
[I------------------O-------------------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.210445913043 .
[I-------------------O------------------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.199021724638 .
[I-------------------O------------------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.187597536232 .
[I--------------------O-----------------------------]22 seconds to go.  loc not valid  51.7059583455 , -0.176173347826 .
[I---------------------O----------------------------]22 seconds to go.  loc not valid  51.7059583455 , -0.16474915942 .
[I---------------------O----------------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.153324971014 .
[I----------------------O---------------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.141900782609 .
[I-----------------------O--------------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.130476594203 .
[I------------------------O-------------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.119052405797 .
[I------------------------O-------------------------]22 seconds to go.  loc not valid  51.7059583455 , -0.107628217391 .
[I-------------------------O------------------------]22 seconds to go.  loc not valid  51.7059583455 , -0.0962040289855 .
[I--------------------------O-----------------------]22 seconds to go.  loc not valid  51.7059583455 , -0.0847798405797 .
[I--------------------------O-----------------------]22 seconds to go.  loc not valid  51.7059583455 , -0.0733556521739 .
[I---------------------------O----------------------]22 seconds to go.  loc not valid  51.7059583455 , -0.0619314637681 .
[I----------------------------O---------------------]22 seconds to go.  loc not valid  51.7059583455 , -0.0505072753623 .
[I-----------------------------O--------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.0390830869565 .
[I-----------------------------O--------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.0276588985507 .
[I------------------------------O-------------------]23 seconds to go.  loc not valid  51.7059583455 , -0.0162347101449 .
